clientTime	Local Time (hrs)	Boat Speed (kn) [H5000 Analog Expansion : 009780#]	Boat Speed (kn) [DST200 : 2006922]	Boat Speed (kn) [ST900 : BETA 6]	Boat Speed (kn) [DST200 : 3441103]	Boat Speed (kn) [H5000 Boat Speed : 009169#]
170207-114649.30		0.00	0.00	0.00	0.00	0.00	
170207-114649.49		0.00	0.00	0.00	0.00	0.00	
170207-114649.69		0.00	0.00	0.00	0.00	0.00	
170207-114649.89		0.00	0.00	0.00	0.00	0.00	
170207-114650.09		0.00	0.00	0.00	0.00	0.00	
170207-114650.29		0.00	0.00	0.00	0.00	0.00	
170207-114650.49		0.00	0.00	0.00	0.00	0.00	
170207-114650.69		0.00	0.00	0.00	0.00	0.00	
170207-114650.89		0.00	0.00	0.00	0.00	0.00	
170207-114651.09		0.00	0.00	0.00	0.00	0.00	
170207-114651.29		0.00	0.00	0.00	0.00	0.00	
170207-114651.49		0.00	0.00	0.00	0.00	0.00	
170207-114651.69		0.00	0.00	0.00	0.00	0.00	
170207-114651.89		0.00	0.00	0.00	0.00	0.00	
170207-114652.09		0.00	0.00	0.00	0.00	0.00	
170207-114652.29		0.00	0.00	0.00	0.00	0.00	
170207-114652.49		0.00	0.00	0.00	0.00	0.00	
170207-114652.69		0.00	0.00	0.00	0.00	0.00	
170207-114652.89		0.00	0.00	0.00	0.00	0.00	
170207-114653.09		0.00	0.00	0.00	0.00	0.00	
170207-114653.29		0.00	0.00	0.00	0.00	0.00	
170207-114653.49		0.00	0.00	0.00	0.00	0.00	
170207-114653.69		0.00	0.00	0.00	0.00	0.00	
170207-114653.89		0.00	0.00	0.00	0.00	0.00	
170207-114654.09		0.00	0.00	0.00	0.00	0.00	
170207-114654.29		0.00	0.00	0.00	0.00	0.00	
170207-114654.49		0.00	0.00	0.00	0.00	0.00	
170207-114654.69		0.00	0.00	0.00	0.00	0.00	
170207-114654.89		0.00	0.00	0.00	0.00	0.00	
170207-114655.09		0.00	0.00	0.00	0.00	0.00	
170207-114655.29		0.00	0.00	0.00	0.00	0.00	
170207-114655.49		0.00	0.00	0.00	0.00	0.00	
170207-114655.69		0.00	0.00	0.00	0.00	0.00	
170207-114655.89		0.00	0.00	0.00	0.00	0.00	
170207-114656.09		0.00	0.00	0.00	0.00	0.00	
170207-114656.29		0.00	0.00	0.00	0.00	0.00	
170207-114656.49		0.00	0.00	0.00	0.00	0.00	
170207-114656.69		0.00	0.00	0.00	0.00	0.00	
170207-114656.89		0.00	0.00	0.00	0.00	0.00	
170207-114657.09		0.00	0.00	0.00	0.00	0.00	
170207-114657.29		0.00	0.00	0.00	0.00	0.00	
170207-114657.49		0.00	0.00	0.00	0.00	0.00	
170207-114657.69		0.00	0.00	0.00	0.00	0.00	
170207-114657.89		0.00	0.00	0.00	0.00	0.00	
170207-114658.09		0.00	0.00	0.00	0.00	0.00	
170207-114658.29		0.00	0.00	0.00	0.00	0.00	
170207-114658.49		0.00	0.00	0.00	0.00	0.00	
170207-114658.69		0.00	0.00	0.00	0.00	0.00	
170207-114658.89		0.00	0.00	0.00	0.00	0.00	
170207-114659.09		0.00	0.00	0.00	0.00	0.00	
170207-114659.29		0.00	0.00	0.00	0.00	0.00	
170207-114659.49		0.00	0.00	0.00	0.00	0.00	
170207-114659.69		0.00	0.00	0.00	0.00	0.00	
170207-114659.89		0.00	0.00	0.00	0.00	0.00	
170207-114700.09		0.00	0.00	0.00	0.00	0.00	
170207-114700.29		0.00	0.00	0.00	0.00	0.00	
170207-114700.49		0.00	0.00	0.00	0.00	0.00	
170207-114700.69		0.00	0.00	0.00	0.00	0.00	
170207-114700.89		0.00	0.00	0.00	0.00	0.00	
170207-114701.09		0.00	0.00	0.00	0.00	0.00	
170207-114701.29		0.00	0.00	0.00	0.00	0.00	
170207-114701.49		0.00	0.00	0.00	0.00	0.00	
170207-114701.69		0.00	0.00	0.00	0.00	0.00	
170207-114701.89		0.00	0.00	0.00	0.00	0.00	
170207-114702.09		0.00	0.00	0.00	0.00	0.00	
170207-114702.29		0.00	0.00	0.00	0.00	0.00	
170207-114702.49		0.00	0.00	0.00	0.00	0.00	
170207-114702.69		0.00	0.00	0.00	0.00	0.00	
170207-114702.89		0.00	0.00	0.00	0.00	0.00	
170207-114703.09		0.00	0.00	0.00	0.00	0.00	
170207-114703.29		0.00	0.00	0.00	0.00	0.00	
170207-114703.49		0.00	0.00	0.00	0.00	0.00	
170207-114703.69		0.00	0.00	0.00	0.00	0.00	
170207-114703.89		0.00	0.00	0.00	0.00	0.00	
170207-114704.09		0.00	0.00	0.00	0.00	0.00	
170207-114704.29		0.00	0.00	0.00	0.00	0.00	
170207-114704.49		0.00	0.00	0.00	0.00	0.00	
170207-114704.69		0.00	0.00	0.00	0.00	0.00	
170207-114704.89		0.00	0.00	0.00	0.00	0.00	
170207-114705.09		0.00	0.00	0.00	0.00	0.00	
170207-114705.29		0.00	0.00	0.00	0.00	0.00	
170207-114705.49		0.00	0.00	0.00	0.00	0.00	
170207-114705.69		0.00	0.00	0.00	0.00	0.00	
170207-114705.89		0.00	0.00	0.00	0.00	0.00	
170207-114706.09		0.00	0.00	0.00	0.00	0.00	
170207-114706.29		0.00	0.00	0.00	0.00	0.00	
170207-114706.49		0.00	0.00	0.00	0.00	0.00	
170207-114706.69		0.00	0.00	0.00	0.00	0.00	
170207-114706.89		0.00	0.00	0.00	0.00	0.00	
170207-114707.09		0.00	0.00	0.00	0.00	0.00	
170207-114707.29		0.00	0.00	0.00	0.00	0.00	
170207-114707.49		0.00	0.00	0.00	0.00	0.00	
170207-114707.69		0.00	0.00	0.00	0.00	0.00	
170207-114707.89		0.00	0.00	0.00	0.00	0.00	
170207-114708.10		0.00	0.00	0.00	0.00	0.00	
170207-114708.29		0.00	0.00	0.00	0.00	0.00	
170207-114708.49		0.00	0.00	0.00	0.00	0.00	
170207-114708.69		0.00	0.00	0.00	0.00	0.00	
170207-114708.89		0.00	0.00	0.00	0.00	0.00	
170207-114709.09		0.00	0.00	0.00	0.00	0.00	
170207-114709.29		0.00	0.00	0.00	0.00	0.00	
170207-114709.49		0.00	0.00	0.00	0.00	0.00	
170207-114709.69		0.00	0.00	0.00	0.00	0.00	
170207-114709.89		0.00	0.00	0.00	0.00	0.00	
170207-114710.09		0.00	0.00	0.00	0.00	0.00	
170207-114710.29		0.00	0.00	0.00	0.00	0.00	
170207-114710.49		0.00	0.00	0.00	0.00	0.00	
170207-114710.69		0.00	0.00	0.00	0.00	0.00	
170207-114710.89		0.00	0.00	0.00	0.00	0.00	
170207-114711.09		0.00	0.00	0.00	0.00	0.00	
170207-114711.29		0.00	0.00	0.00	0.00	0.00	
170207-114711.49		0.00	0.00	0.00	0.00	0.00	
170207-114711.69		0.00	0.00	0.00	0.00	0.00	
170207-114711.89		0.00	0.00	0.00	0.00	0.00	
170207-114712.09		0.00	0.00	0.00	0.00	0.00	
170207-114712.29		0.00	0.00	0.00	0.00	0.00	
170207-114712.49		0.00	0.00	0.00	0.00	0.00	
170207-114712.69		0.00	0.00	0.00	0.00	0.00	
170207-114712.89		0.00	0.00	0.00	0.00	0.00	
170207-114713.09		0.00	0.00	0.00	0.00	0.00	
170207-114713.29		0.00	0.00	0.00	0.00	0.00	
170207-114713.49		0.00	0.00	0.00	0.00	0.00	
170207-114713.69		0.00	0.00	0.00	0.00	0.00	
170207-114713.89		0.00	0.00	0.00	0.00	0.00	
170207-114714.09		0.00	0.00	0.00	0.00	0.00	
170207-114714.29		0.00	0.00	0.00	0.00	0.00	
170207-114714.49		0.00	0.00	0.00	0.00	0.00	
170207-114714.69		0.00	0.00	0.00	0.00	0.00	
170207-114714.89		0.00	0.00	0.00	0.00	0.00	
170207-114715.09		0.00	0.00	0.00	0.00	0.00	
170207-114715.29		0.00	0.00	0.00	0.00	0.00	
170207-114715.49		0.00	0.00	0.00	0.00	0.00	
170207-114715.69		0.00	0.00	0.00	0.00	0.00	
170207-114715.89		0.00	0.00	0.00	0.00	0.00	
170207-114716.09		0.00	0.00	0.00	0.00	0.00	
170207-114716.29		0.00	0.00	0.00	0.00	0.00	
170207-114716.49		0.00	0.00	0.00	0.00	0.00	
170207-114716.69		0.00	0.00	0.00	0.00	0.00	
170207-114716.89		0.00	0.00	0.00	0.00	0.00	
170207-114717.09		0.00	0.00	0.00	0.00	0.00	
170207-114717.29		0.00	0.00	0.00	0.00	0.00	
170207-114717.49		0.00	0.00	0.00	0.00	0.00	
170207-114717.69		0.00	0.00	0.00	0.00	0.00	
170207-114717.89		0.00	0.00	0.00	0.00	0.00	
170207-114718.09		0.00	0.00	0.00	0.00	0.00	
170207-114718.29		0.00	0.12	0.00	0.00	0.00	
170207-114718.49		0.00	0.12	0.00	0.00	0.00	
170207-114718.69		0.00	0.12	0.00	0.00	0.00	
170207-114718.89		0.00	0.12	0.00	0.00	0.16	
170207-114719.09		0.08	0.12	0.00	0.00	0.34	
170207-114719.29		0.21	0.58	0.00	0.41	0.53	
