statusId | label
1|test
statusId|sensorName|value|timestamp
1|Gravity Sensor|[-0.19212994,0.7238546,9.778011]|1477918466535
1|Linear Acceleration Sensor|[-0.32024488,3.9569526,-2.054081]|1477918466535
1|Linear Acceleration Sensor|[0.36121526,3.5818808,-0.7954111]|1477918466545
1|Gravity Sensor|[-0.23910725,1.2689202,9.721268]|1477918466545
1|Linear Acceleration Sensor|[0.356582,3.0640364,-0.7283592]|1477918466555
1|Gravity Sensor|[-0.23686823,1.7723988,9.642244]|1477918466555
1|Linear Acceleration Sensor|[0.31236613,2.5586755,-0.6401434]|1477918466564
1|Gravity Sensor|[-0.21420087,2.201143,9.5540285]|1477918466565
1|K6DS3TR Acceleration Sensor|[-0.08619389,4.678413,9.052753]|1477918466570
1|Gravity Sensor|[-0.191152,2.5557435,9.465835]|1477918466575
1|Linear Acceleration Sensor|[0.07862109,2.1011212,-0.47054386]|1477918466575
1|K6DS3TR Acceleration Sensor|[-0.11253092,4.6568646,8.995291]|1477918466575
1|K6DS3TR Acceleration Sensor|[-0.11013664,4.640105,9.007262]|1477918466580
1|Gravity Sensor|[-0.1749185,2.8481166,9.382324]|1477918466585
1|Linear Acceleration Sensor|[0.021684915,1.7728336,-0.32717705]|1477918466585
1|K6DS3TR Acceleration Sensor|[-0.15323359,4.62095,9.055147]|1477918466586
1|K6DS3TR Acceleration Sensor|[-0.13168511,4.582642,9.100638]|1477918466590
1|Gravity Sensor|[-0.16506144,3.0882661,9.30622]|1477918466595
1|Linear Acceleration Sensor|[0.06689618,1.4417017,-0.20797539]|1477918466595
1|K6DS3TR Acceleration Sensor|[-0.098165266,4.529968,9.098245]|1477918466595
1|K6DS3TR Acceleration Sensor|[-0.08858817,4.517997,9.043176]|1477918466600
1|Gravity Sensor|[-0.15625511,3.28217,9.239768]|1477918466605
1|Linear Acceleration Sensor|[0.06527267,1.2477977,-0.27799702]|1477918466605
1|K6DS3TR Acceleration Sensor|[-0.090982445,4.529968,8.961771]|1477918466605
1|K6DS3TR Acceleration Sensor|[-0.12929083,4.529968,8.897125]|1477918466611
1|Gravity Sensor|[-0.1481334,3.4453807,9.180292]|1477918466615
1|Linear Acceleration Sensor|[-0.0051001906,1.0989528,-0.39330387]|1477918466615
1|K6DS3TR Acceleration Sensor|[-0.15323359,4.5443335,8.786988]|1477918466615
1|K6DS3TR Acceleration Sensor|[-0.17717634,4.558699,8.669669]|1477918466620
1|Gravity Sensor|[-0.1436683,3.5882173,9.125483]|1477918466625
1|Linear Acceleration Sensor|[-0.033508047,0.9704819,-0.4558134]|1477918466625
1|K6DS3TR Acceleration Sensor|[-0.17717634,4.5706706,8.535589]|1477918466625
1|K6DS3TR Acceleration Sensor|[-0.2083019,4.625739,8.466156]|1477918466630
1|Gravity Sensor|[-0.142654,3.7190866,9.07295]|1477918466634
1|Linear Acceleration Sensor|[-0.077619284,0.9258065,-0.6427088]|1477918466635
1|K6DS3TR Acceleration Sensor|[-0.22027329,4.644893,8.430242]|1477918466635
1|K6DS3TR Acceleration Sensor|[-0.22506183,4.644893,8.396722]|1477918466640
1|Gravity Sensor|[-0.14562993,3.842117,9.021492]|1477918466645
1|Linear Acceleration Sensor|[-0.10816319,0.8075645,-0.7373009]|1477918466645
1|K6DS3TR Acceleration Sensor|[-0.25379312,4.6496816,8.284191]|1477918466645
1|K6DS3TR Acceleration Sensor|[-0.28013015,4.625739,8.25546]|1477918466650
1|Gravity Sensor|[-0.15242177,3.9575672,8.971333]|1477918466655
1|Linear Acceleration Sensor|[-0.13967976,0.6681719,-0.78291225]|1477918466654
1|K6DS3TR Acceleration Sensor|[-0.29210153,4.625739,8.18842]|1477918466656
1|K6DS3TR Acceleration Sensor|[-0.2944958,4.62095,8.197997]|1477918466660
1|Gravity Sensor|[-0.16290022,4.0637536,8.923549]|1477918466665
1|Linear Acceleration Sensor|[-0.0813158,0.59311104,-0.69682026]|1477918466665
1|K6DS3TR Acceleration Sensor|[-0.24421602,4.6568646,8.226728]|1477918466665
1|K6DS3TR Acceleration Sensor|[-0.20351335,4.6472874,8.320105]|1477918466670
1|Gravity Sensor|[-0.1729855,4.1598883,8.878952]|1477918466675
1|Linear Acceleration Sensor|[-0.04010497,0.41796494,-0.32899666]|1477918466675
1|K6DS3TR Acceleration Sensor|[-0.21309046,4.577853,8.549955]|1477918466675
1|K6DS3TR Acceleration Sensor|[-0.2753416,4.5539107,8.669669]|1477918466681
1|Gravity Sensor|[-0.18067256,4.2356663,8.842898]|1477918466685
1|Linear Acceleration Sensor|[-0.14494881,0.2943015,-0.003235817]|1477918466685
1|K6DS3TR Acceleration Sensor|[-0.32562137,4.529968,8.839663]|1477918466685
1|K6DS3TR Acceleration Sensor|[-0.3232271,4.4916596,8.966559]|1477918466690
1|Gravity Sensor|[-0.1907554,4.2897096,8.816596]|1477918466695
1|Linear Acceleration Sensor|[-0.12768316,0.20195007,0.22179127]|1477918466694
1|K6DS3TR Acceleration Sensor|[-0.31843856,4.4916596,9.038387]|1477918466696
1|K6DS3TR Acceleration Sensor|[-0.2561874,4.532362,9.141341]|1477918466700
1|Gravity Sensor|[-0.20129089,4.32491,8.799148]|1477918466705
1|Linear Acceleration Sensor|[-0.14109041,0.2098465,0.36134815]|1477918466705
1|K6DS3TR Acceleration Sensor|[-0.3423813,4.5347567,9.160496]|1477918466705
1|K6DS3TR Acceleration Sensor|[-0.29689008,4.532362,9.179649]|1477918466710
1|Gravity Sensor|[-0.21246918,4.3475814,8.787704]|1477918466715
1|Linear Acceleration Sensor|[-0.11794074,0.1799922,0.34884834]|1477918466715
1|K6DS3TR Acceleration Sensor|[-0.3304099,4.5275736,9.136553]|1477918466715
1|YAS537 Magnetic Sensor|[8.400001,-33.0,-27.6]|1477918466716
1|K6DS3TR Acceleration Sensor|[-0.34477556,4.5060253,9.117398]|1477918466720
1|Gravity Sensor|[-0.22326571,4.3621407,8.780218]|1477918466725
1|Linear Acceleration Sensor|[-0.19094384,0.12951899,0.31563187]|1477918466725
1|K6DS3TR Acceleration Sensor|[-0.41420954,4.4916596,9.09585]|1477918466725
